district,dem.house.2018,gop.house.2018,total.turnout.2018.house,pct_reported,precincts_reporting,precincts_total,uncontested,dem.turnout.2018.house,rep.turnout.2018.house,dem.house.margin.2018,dem.house.2016,gop.house.2016,dem.house.margin.2016,dem.house.2012,gop.house.2012,dem.house.margin.2012,dem.house.2014,gop.house.2014,dem.house.margin.2014,total.turnout.2016.house,dem.turnout.2016.house,rep.turnout.2016.house,total.turnout.2014.house,dem.turnout.2014.house,rep.turnout.2014.house,dem.turnout.2012.house,rep.turnout.2012.house,total.turnout.2012.house,obama.2008,mccain.2008,obama.margin.2008,obama.2012,romney.2012,obama.margin.2012,clinton.2016,trump.2016,clinton.margin.2016,total.pres.turnout.2016,clinton.turnout.2016,trump.turnout.2016,obama_trump,romney_clinton,too_early,stcode,abbcode,anycong,nocong,evanprot,catholic,mainprot,other,congsession,yrelected,stateabbr,cdnum,educ.coll,educ.hs,educ.no_hs,educ.some_coll,asian,black,race.oth,white,cd_num,fips_cd113,prohibit_taxpayer_abortion,cut_defense_spending,gun_control_background_checks,race_problems_isolated,attitudes_deport_immig,obamacare_repeal,white_people_advantage,abortion_always_legal,min_wage_12,full_name,prob_rep_win,proj_dem_2party,prob_dem_win,proj_rep_2party,econ.proj.dem.margin.2018,density_type,high_minus_low_density,High.density,Medium.density,Low.density,Very.low.density,density_type.slim,swing_obama_clinton,swing_house_dems,race_called,uncontested_2016,uncontested_2012,region,D.Polling.Margin
CO-03,0.435546672,0.515201271,336189,0.986193294,500,507,0,146426,173205,-0.079654599,0.403,0.546,-0.143,0.435,0.565,-0.13,0.357,0.58,-0.223,374037,150914,204220,281141,100364,163011,142920,185291,328211,0.48,0.5,-0.02,0.46,0.52,-0.06,0.4,0.52,-0.12,377176,151057,195966,0,0,0,8,CO03,42.533222,57.466778,10.71719,22.013845,4.128541,5.673646,116,2018,CO,3,28.36385054,26.99801604,11.41646689,33.22166653,0.672726756,0.905900806,12.98087919,85.44049325,77,803,0.51653004,0.284037116,0.723794606,0.211944813,0.447536414,0.633925544,0.440709263,0.560117242,0.54666079,Colorado 3rd,0.9684,0.438516475,0.0316,0.561483525,-0.122967051,Pure rural,-0.475488882,0.033816743,0.202455465,0.254422166,0.509305625,Rural,-0.06,0.08,1,0,0,West,-12.52124711
CO-04,0.393807058,0.606192942,369582,0.977941176,532,544,0,145544,224038,-0.212385885,0.317,0.635,-0.318,0.386,0.614,-0.228,0.292,0.647,-0.355,390549,123642,248155,286507,83727,185292,125800,200006,325806,0.42,0.56,-0.15,0.39,0.59,-0.19,0.34,0.57,-0.23,402197,137779,230945,0,0,0,8,CO04,37.139809,62.860191,12.51374,15.801455,5.5719094,3.2527051,116,2018,CO,4,31.63879367,24.06576916,11.44572182,32.84971535,1.584052853,1.231421581,9.474806515,87.70971905,78,804,0.527152163,0.336733604,0.869030638,0.246447734,0.43499937,0.60103493,0.424591885,0.502089499,0.568069404,Colorado 4th,0.9776,0.414457732,0.0224,0.585542268,-0.171084536,Rural-suburban mix,-0.30045259,0.0560774,0.276835341,0.310557269,0.35652999,Rural,-0.04,0.037,1,0,0,West,NA
CO-05,0.393150367,0.570292427,322645,0.871794872,306,351,0,126848,184002,-0.17714206,0.309,0.623,-0.314,0,1,-1,0.402,0.598,-0.196,361993,111676,225445,262855,105673,157182,0,199639,199639,0.4,0.59,-0.19,0.38,0.59,-0.21,0.33,0.57,-0.24,371751,123508,212517,0,0,1,8,CO05,33.775135,66.224869,15.2267,9.1174088,5.2858758,4.1451507,116,2018,CO,5,33.58927162,23.39636323,7.358064738,35.65630042,2.260229124,5.511695751,13.20177166,79.02630346,79,805,0.572804352,0.345446854,0.871569932,0.263114254,0.491944068,0.656695341,0.446394937,0.521440352,0.498020799,Colorado 5th,0.9866,0.403132651,0.0134,0.596867349,-0.193734697,Dense suburban,-0.091127446,0.116348317,0.471487923,0.204687997,0.207475763,Suburban,-0.03,-0.118,1,0,-1,West,NA
CO-06,0.541031726,0.428713125,346817,0.991596639,472,476,0,187639,148685,0.1123186,0.426,0.509,-0.083,0.489,0.511,-0.022,0.43,0.519,-0.089,376417,160372,191626,276440,118847,143467,156937,163938,320875,0.54,0.45,0.09,0.52,0.47,0.05,0.5,0.41,0.09,380535,191103,157115,0,0,0,8,CO06,33.003662,66.996338,11.625563,12.06463,4.4085507,4.9049191,116,2018,CO,6,39.6246806,20.66182733,9.032875223,30.68061684,4.758228778,8.553039795,13.06838791,73.62034351,80,806,0.467620224,0.427587724,0.883249423,0.273560322,0.356321718,0.514919971,0.504566934,0.627777515,0.642606647,Colorado 6th,0.1086,0.535569268,0.8914,0.464430732,0.071138536,Dense suburban,0.319771088,0.361340654,0.473971261,0.123118518,0.041569566,Suburban,0.04,0.006,1,0,0,West,6.166963927
CO-07,0.604308799,0.354236315,338006,1,347,347,0,204260,119734,0.250072484,0.552,0.398,0.154,0.567,0.433,0.134,0.551,0.449,0.101,362010,199758,144066,269143,148225,120918,182460,139066,321526,0.57,0.41,0.17,0.56,0.41,0.15,0.51,0.39,0.12,374616,192637,147645,0,0,0,8,CO07,32.790607,67.209396,10.561703,15.455513,3.0436912,3.7297006,116,2018,CO,7,29.72919591,26.16827339,12.88840888,31.21412182,3.236945604,1.447298547,12.99616947,82.31958638,81,807,0.423316138,0.403329582,0.854177294,0.261547874,0.422638129,0.564806072,0.538841281,0.639648384,0.57524601,Colorado 7th,0.0012,0.628809006,0.9988,0.371190994,0.257618013,Dense suburban,0.252549355,0.267127576,0.548937731,0.169356474,0.01457822,Suburban,-0.03,0.053,1,0,0,West,NA
CT-01,0.638677318,0.350273583,274140,1,135,135,0,175087,96024,0.288403735,0.641,0.338,0.303,0.715,0.285,0.43,0.623,0.361,0.263,312925,200686,105674,217696,135686,78520,206973,82321,289294,0.66,0.33,0.33,0.63,0.36,0.28,0.59,0.36,0.23,328774,195305,119395,0,0,0,9,CT01,48.827141,51.172859,5.354548,30.755232,8.4017696,4.3155913,116,2018,CT,1,33.6229952,28.15078404,12.21762033,26.00860044,4.623340874,14.21670164,11.22673135,69.93322613,82,901,0.404655589,0.451438206,0.944468009,0.203464329,0.356487209,0.394745864,0.621206571,0.620777375,0.727029912,Connecticut 1st,0.0003,0.679718741,0.9997,0.320281259,0.359437482,Sparse suburban,0.145665287,0.191608511,0.296851398,0.465596867,0.045943224,Suburban,-0.05,0.04,1,0,0,Norhteast,NA
CT-02,0.621661352,0.35447263,289114,1,143,143,0,179731,102483,0.267188721,0.632,0.337,0.295,0.699,0.301,0.398,0.623,0.355,0.268,330257,208818,111149,227750,141851,80842,204708,88103,292811,0.59,0.4,0.19,0.56,0.43,0.13,0.49,0.46,0.03,340758,165799,155975,0,0,0,9,CT02,44.078522,55.921478,3.4233265,30.937162,7.1019492,2.6160836,116,2018,CT,2,32.71821765,30.47626115,9.167779812,27.63774139,2.902043268,3.582224559,8.017366215,85.49836596,83,902,0.379013228,0.378413978,0.939283235,0.17879998,0.380781029,0.485503734,0.545043959,0.64915514,0.718027,Connecticut 2nd,0.0003,0.68652021,0.9997,0.31347979,0.373040419,Rural-suburban mix,-0.263589,0.029082127,0.135769658,0.542477089,0.292671126,Rural,-0.1,0.027,1,0,0,Norhteast,NA
CT-03,0.645991141,0.354008859,270239,1,174,174,0,174572,95667,0.291982282,0.69,0.31,0.38,0.747,0.253,0.494,0.671,0.329,0.342,309379,213572,95786,210420,141197,69223,217585,73726,291311,0.63,0.36,0.26,0.63,0.36,0.26,0.56,0.4,0.16,321837,179832,129968,0,0,0,9,CT03,49.403225,50.596775,3.8615625,35.44521,6.5713787,3.5250742,116,2018,CT,3,33.61658137,30.29785056,10.84257932,25.24298874,3.962340541,12.93706726,8.245143316,74.85544889,84,903,0.423391398,0.385907773,0.947380468,0.153727509,0.45230355,0.499164071,0.611895239,0.644517721,0.761298398,Connecticut 3rd,1E-04,0.71412267,0.9999,0.28587733,0.428245341,Sparse suburban,0.219377712,0.231743805,0.365039701,0.390850402,0.012366092,Suburban,-0.1,0.038,1,0,0,Norhteast,NA
CT-04,0.612108965,0.387891035,275647,1,121,121,0,168726,106921,0.224217931,0.599,0.401,0.198,0.6,0.4,0.2,0.537,0.463,0.075,313540,187811,125724,198719,106791,91928,175929,117503,293432,0.6,0.4,0.2,0.55,0.44,0.11,0.6,0.37,0.23,328198,195494,119976,0,0,0,9,CT04,62.967628,37.032372,5.091867,43.943371,8.9576216,4.9747691,116,2018,CT,4,46.97220815,21.79818335,10.92806975,20.30153876,4.604421682,11.83355702,9.550607237,74.01141406,85,904,0.381730903,0.345162499,0.934187666,0.154460065,0.329974286,0.410364021,0.634306937,0.715439181,0.744397406,Connecticut 4th,0.0002,0.673416808,0.9998,0.326583192,0.346833616,Sparse suburban,0.297028527,0.322042016,0.256974859,0.395969637,0.025013488,Suburban,0.12,0.123,1,0,0,Norhteast,NA
CT-05,0.558745395,0.441254605,270651,1,143,143,0,151225,119426,0.117490791,0.58,0.42,0.16,0.513,0.487,0.026,0.533,0.458,0.075,309082,179252,129801,211123,112550,96625,146106,138640,284746,0.56,0.42,0.14,0.54,0.45,0.08,0.5,0.46,0.04,322737,161142,147901,0,0,0,9,CT05,50.861839,49.138161,4.2815347,34.398819,8.30406,3.8774257,116,2018,CT,5,34.03198028,28.46228397,12.03242062,25.47331513,2.815836372,6.056902594,12.63263738,78.49462366,86,905,0.392682283,0.341322319,0.947336857,0.191623119,0.328731259,0.472879128,0.5654164,0.653657263,0.721021906,Connecticut 5th,0.0226,0.596576082,0.9774,0.403423918,0.193152164,Sparse suburban,0.03560688,0.139320395,0.256312092,0.500653998,0.103713515,Suburban,-0.04,0.085,1,0,0,Norhteast,NA
DE-AL,0.6445397,0.3554603,352737,1,435,435,0,227353,125384,0.289079399,0.555,0.41,0.145,0.658,0.342,0.316,0.593,0.368,0.225,420617,233554,172301,231617,137251,85146,249933,129757,379690,0.62,0.37,0.25,0.59,0.4,0.19,0.53,0.42,0.12,441590,235603,185127,0,0,0,10,DE00,41.753292,58.246708,7.1970768,20.327997,9.6730938,4.5551243,116,2018,DE,AL,28.52232025,31.63537097,12.32308633,27.51922245,3.16780794,20.91413359,7.055231709,68.86282676,87,1001,0.410211914,0.385151763,0.944926617,0.180252126,0.429127832,0.505564805,0.529086842,0.660484815,0.690908066,Delaware at-large,0.0004,0.653299109,0.9996,0.346700891,0.306598218,Sparse suburban,-0.085547692,0.096258138,0.251970964,0.469965069,0.18180583,Suburban,-0.07,-0.08,1,0,0,South,30.48893467
FL-01,0.329413626,0.670586374,322388,1,199,199,0,106199,216189,-0.341172748,0.309,0.691,-0.382,0.281,0.719,-0.438,0.234,0.702,-0.468,369186,114079,255107,235343,54976,165086,92961,238440,331401,0.32,0.67,-0.35,0.3,0.69,-0.38,0.28,0.68,-0.39,380100,107063,256609,0,0,0,12,FL01,48.778065,51.221935,29.129631,5.4110832,9.1734781,5.0638723,116,2018,FL,1,24.71121692,28.74590484,11.65104989,34.89182835,2.502895345,12.93766364,9.11731773,75.44212329,88,1201,0.484665676,0.289681505,0.915636721,0.210363771,0.545685279,0.63452667,0.441458657,0.520042837,0.58865522,Florida 1st,0.9993,0.317601646,0.0007,0.682398354,-0.364796707,Rural-suburban mix,-0.242362955,0.005338309,0.229029904,0.517930522,0.247701264,Rural,-0.01,0.086,1,0,0,South,NA
FL-02,0.325586667,0.674413333,295568,1,299,299,0,96233,199335,-0.348826666,0.299,0.673,-0.374,0.473,0.527,-0.054,0.505,0.494,0.011,343362,102801,231163,NA,NA,NA,NA,NA,NA,0.35,0.63,-0.28,0.34,0.65,-0.31,0.31,0.66,-0.36,354948,108636,234991,0,0,0,12,FL02,42.469418,57.530582,27.365141,3.7126627,5.1231084,6.2685056,116,2018,FL,2,25.969764,29.74915305,14.40397607,29.87710687,1.837798786,23.68822666,6.545425525,67.92854903,89,1202,0.579710976,0.2601131,0.818969498,0.289004511,0.559349004,0.685454255,0.456368832,0.503095722,0.608134994,Florida 2nd,0.9995,0.336340795,0.0005,0.663659205,-0.327318409,Rural-suburban mix,-0.398135607,0.055920676,0.158829805,0.331193237,0.454056282,Rural,-0.05,-0.385,1,0,1,South,NA
FL-03,0.423757569,0.576242431,306496,1,218,218,0,129880,176616,-0.152484861,0.398,0.566,-0.168,0.334,0.666,-0.332,0.323,0.65,-0.327,342700,136338,193843,NA,NA,NA,NA,NA,NA,0.44,0.55,-0.1,0.42,0.57,-0.15,0.4,0.56,-0.16,351688,141362,197478,0,0,0,12,FL03,40.471157,59.528843,22.009249,8.4249716,5.5889683,4.4479685,116,2018,FL,3,23.7563809,30.97509702,14.08997937,31.17854271,2.802760199,13.11150339,6.342457247,77.74327917,90,1203,0.553008293,0.317556901,0.876547904,0.249478844,0.479224222,0.631159407,0.404937931,0.534396057,0.623966034,Florida 3rd,0.9072,0.427534418,0.0928,0.572465582,-0.144931164,Pure rural,-0.503945572,0.033193002,0.129452033,0.30021639,0.537138575,Rural,-0.01,0.159,1,0,1,South,NA
FL-04,0.323546152,0.65159857,381247,1,180,180,0,123351,248420,-0.328052417,0.276,0.702,-0.426,0,1,-1,0,0.783,-0.783,409662,113088,287509,NA,NA,NA,NA,NA,NA,0.35,0.64,-0.29,0.33,0.66,-0.33,0.34,0.62,-0.28,421618,143675,261826,0,0,0,12,FL04,50.260807,49.739193,26.506067,10.056412,6.0483871,7.649941,116,2018,FL,4,28.67339979,28.28650456,10.22262264,32.81747301,4.31973143,13.42405893,7.068966713,75.18724293,91,1204,0.502755015,0.28662394,0.837957361,0.295135548,0.466324933,0.685442819,0.471657056,0.558275068,0.538036223,Florida 4th,0.9997,0.317688299,0.0003,0.682311701,-0.364623402,Sparse suburban,-0.121836583,0.033924621,0.458490529,0.351823647,0.155761204,Suburban,0.05,0.357,1,0,1,South,NA
FL-05,0.667812197,0.332187803,270326,1,273,273,0,180527,89799,0.335624394,0.642,0.358,0.284,0.729,0.271,0.458,0.655,0.345,0.309,302874,194549,108325,NA,NA,NA,NA,NA,NA,0.63,0.36,0.27,0.64,0.35,0.28,0.61,0.36,0.25,312071,191194,111892,0,0,0,12,FL05,51.079967,48.920033,27.559332,6.9324126,5.9707847,10.617438,116,2018,FL,5,15.46786969,34.59460207,19.84896126,30.08856698,2.265388225,51.15076789,8.881240414,37.70260347,92,1205,0.408627205,0.393347373,0.888183505,0.154083998,0.345465978,0.471818365,0.681473443,0.684436746,0.759017509,Florida 5th,0.0002,0.701439064,0.9998,0.298560936,0.402878128,Sparse suburban,0.032866016,0.101193161,0.496364996,0.334114697,0.068327145,Suburban,-0.03,-0.025,1,0,1,South,NA
FL-06,0.436860293,0.563139707,333649,1,185,185,0,145758,187891,-0.126279413,0.414,0.586,-0.172,0.428,0.572,-0.144,0.375,0.625,-0.251,364570,151051,213519,NA,NA,NA,NA,NA,NA,0.5,0.49,0.01,0.47,0.52,-0.06,0.4,0.57,-0.17,379804,151453,215941,0,0,0,12,FL06,35.106953,64.893051,15.231598,11.494237,5.7479949,2.6331229,116,2018,FL,6,26.69231806,29.99964318,11.28284727,32.02519149,1.785546326,9.414022414,5.83717401,82.96325725,93,1206,0.505629927,0.303395591,0.819272427,0.221925322,0.495701219,0.581012279,0.41904869,0.529412027,0.663142036,Florida 6th,0.6539,0.486001637,0.3461,0.513998363,-0.027996726,Sparse suburban,-0.182488723,0.007855298,0.271709587,0.530091095,0.190344021,Suburban,-0.11,0.079,1,0,1,South,-1.588290109
FL-07,0.576919199,0.423080801,317398,1,144,144,0,183113,134285,0.153838398,0.515,0.485,0.03,0.413,0.587,-0.174,0.321,0.636,-0.315,353655,182039,171583,NA,NA,NA,NA,NA,NA,0.51,0.48,0.03,0.49,0.49,0,0.51,0.44,0.07,363186,186658,160178,0,0,0,12,FL07,41.247158,58.752842,18.008553,14.668466,4.4726071,4.0975327,116,2018,FL,7,32.45740581,25.50719789,9.320317898,32.71507841,3.441410734,8.343461053,8.765804511,79.4493237,94,1207,0.408250989,0.31988131,0.925331014,0.216513992,0.408788501,0.525202284,0.540917762,0.628215514,0.731466996,Florida 7th,0.0121,0.592026184,0.9879,0.407973816,0.184052367,Sparse suburban,-0.022459959,0.026047697,0.543807094,0.381637554,0.048507656,Suburban,0.07,0.345,1,0,1,South,2.058611796
FL-08,0.395018958,0.604981042,360527,1,216,216,0,142415,218112,-0.209962083,0.325,0.631,-0.306,0.389,0.611,-0.222,0.341,0.658,-0.317,390561,127127,246483,274513,93724,180728,130870,205432,336302,0.44,0.55,-0.11,0.42,0.57,-0.15,0.38,0.58,-0.21,401911,151412,234648,0,0,0,12,FL08,37.47332,62.52668,13.338636,14.825496,5.9735184,3.3356695,116,2018,FL,8,26.19063594,29.61937539,10.54867725,33.64131143,1.839795336,9.459425417,6.297233449,82.4035458,95,1208,0.483555447,0.339852925,0.891902159,0.239706265,0.52092926,0.574664494,0.42362984,0.622875486,0.644025824,Florida 8th,0.977,0.412024252,0.023,0.587975748,-0.175951497,Sparse suburban,-0.109033065,0.011572055,0.316960856,0.550861969,0.12060512,Suburban,-0.06,0.011,1,0,0,South,NA
FL-09,0.580217499,0.419782501,296737,1,198,198,0,172172,124565,0.160434998,0.575,0.425,0.15,0.625,0.375,0.25,0.54,0.431,0.109,339761,195311,144450,NA,NA,NA,NA,NA,NA,0.55,0.45,0.1,0.56,0.43,0.12,0.55,0.42,0.13,356530,195368,149352,0,0,0,12,FL09,39.4617,60.5383,19.01685,11.896193,4.0836525,4.4650059,116,2018,FL,9,23.00654406,31.30446919,14.66231873,31.02666803,3.949512949,11.09134174,12.80444077,72.15470454,96,1209,0.477268288,0.373017135,0.922954224,0.322212034,0.457080342,0.609751483,0.509997545,0.549542078,0.749733335,Florida 9th,0.0142,0.582462947,0.9858,0.417537053,0.164925893,Sparse suburban,-0.047447696,0.053011571,0.39423845,0.452290712,0.100459267,Suburban,0.01,0.041,1,0,1,South,8.428916095
FL-10,NA,NA,0,NA,0,0,1,0,0,1,0.649,0.351,0.298,0.483,0.517,-0.034,0.385,0.615,-0.231,305989,198491,107498,NA,NA,NA,NA,NA,NA,0.61,0.39,0.22,0.61,0.38,0.22,0.62,0.35,0.27,315611,194934,110062,0,0,NA,12,FL10,42.083027,57.916973,18.93441,12.660346,4.9815173,5.5067534,116,2018,FL,10,27.63090152,29.66547219,11.6476556,31.05597069,3.723679391,11.8364802,8.617614083,75.82222632,97,1210,0.486486236,0.319613281,0.894256961,0.222273523,0.355515772,0.560822596,0.566243951,0.669039809,0.686858117,Florida 10th,0,1,1,0,1,Sparse suburban,-0.079849871,0.063209789,0.21074797,0.582982582,0.14305966,Suburban,0.05,0.529,1,0,1,South,NA
FL-11,0.348492848,0.651507152,367448,1,199,199,0,128053,239395,-0.303014304,0.316,0.654,-0.338,0.355,0.645,-0.29,0.333,0.667,-0.333,394719,124713,258016,NA,NA,NA,NA,NA,NA,0.43,0.56,-0.14,0.4,0.59,-0.19,0.33,0.65,-0.32,410998,133448,266256,0,0,0,12,FL11,31.323496,68.676506,14.910463,8.8340282,5.162199,2.4168053,116,2018,FL,11,17.46665563,36.845532,14.53528633,31.15252604,1.205433009,8.386525299,4.791592674,85.61644902,98,1211,0.48480209,0.319785765,0.93283695,0.247490719,0.490200566,0.654940562,0.38293896,0.543000706,0.628889114,Florida 11th,0.9968,0.376805801,0.0032,0.623194199,-0.246388399,Rural-suburban mix,-0.264831933,0,0.205731751,0.529436316,0.264831933,Rural,-0.13,-0.005,1,0,1,South,NA
FL-12,0.396646343,0.580930258,334918,1,178,178,0,132844,194564,-0.184283914,0.314,0.686,-0.372,0.342,0.658,-0.316,0,1,-1,369669,116110,253559,NA,NA,NA,NA,NA,NA,0.47,0.51,-0.04,0.46,0.53,-0.08,0.39,0.57,-0.19,380357,147759,218487,0,0,0,12,FL12,26.608057,73.391945,9.6266232,10.031318,4.1105022,2.8396139,116,2018,FL,12,25.95282212,31.34235778,10.80599706,31.89882305,2.632580572,4.314179334,5.518672024,87.53456807,99,1212,0.453099875,0.377159491,0.909125093,0.209922371,0.488072186,0.655836634,0.439783746,0.598619973,0.675076969,Florida 12th,0.9917,0.400985657,0.0083,0.599014343,-0.198028687,Sparse suburban,-0.013826479,0.033805372,0.416436583,0.502126195,0.047631851,Suburban,-0.11,0.628,1,0,1,South,-17.25247626
FL-13,0.576447057,0.423552943,316971,1,239,239,0,182717,134254,0.152894113,0.519,0.481,0.038,0.424,0.576,-0.152,0,0.752,-0.752,355842,184693,171149,NA,NA,NA,NA,NA,NA,0.56,0.43,0.13,0.55,0.44,0.11,0.5,0.46,0.03,360760,178892,167348,0,0,0,12,FL13,36.015697,63.984303,10.149235,12.323276,7.1274419,6.4157453,116,2018,FL,13,26.80249153,30.73858789,11.35223986,31.10668071,3.276388394,5.696700931,5.164770302,85.86214037,100,1213,0.487217953,0.380662441,0.896370303,0.255721104,0.469623998,0.548327675,0.404443231,0.648485074,0.701493538,Florida 13th,0.01,0.603444602,0.99,0.396555398,0.206889204,Dense suburban,0.214423292,0.214423292,0.703624275,0.081952433,0,Suburban,-0.08,0.79,1,0,1,South,NA
FL-14,NA,NA,0,NA,0,0,1,0,0,1,0.618,0.382,0.236,0.702,0.298,0.404,1,0,1,316877,195789,121088,NA,NA,NA,NA,NA,NA,0.58,0.41,0.17,0.58,0.41,0.16,0.57,0.39,0.18,330433,188870,128797,0,0,NA,12,FL14,39.772915,60.227085,18.227242,10.654915,4.8280783,6.0626802,116,2018,FL,14,25.19437162,30.04569044,16.37365577,28.38628217,2.617848159,26.10953985,8.781766155,62.49084584,101,1214,0.35776314,0.427093111,0.946812535,0.177743345,0.344788233,0.444476801,0.657921301,0.72170523,0.792208377,Florida 14th,0,1,1,0,1,Dense suburban,0.247228932,0.25911453,0.562589168,0.166410704,0.011885598,Suburban,0.02,-0.764,1,0,1,South,NA
FL-15,0.469794615,0.530205385,285512,1,194,194,0,134132,151380,-0.060410771,0.425,0.575,-0.15,0,1,-1,0.397,0.603,-0.206,318474,135475,182999,NA,NA,NA,NA,NA,NA,0.47,0.52,-0.05,0.47,0.52,-0.06,0.43,0.53,-0.1,334518,144225,177635,0,0,0,12,FL15,39.945377,60.054623,20.567513,9.3265543,5.2163181,4.8349924,116,2018,FL,15,25.84609116,30.96733063,13.57645492,29.6101233,3.071089102,12.56612932,8.584163891,75.77861769,102,1215,0.595069442,0.34732784,0.916455138,0.241403457,0.520315658,0.649010151,0.435725414,0.6003364,0.597105349,Florida 15th,0.5335,0.497666261,0.4665,0.502333739,-0.004667477,Sparse suburban,-0.020680065,0.028881272,0.471653319,0.449904071,0.049561338,Suburban,-0.04,0.056,1,0,1,South,-1.762189904
FL-16,0.454385461,0.545614539,361946,1,186,186,0,164463,197483,-0.091229078,0.402,0.598,-0.196,0.464,0.536,-0.072,0.384,0.615,-0.232,385916,155262,230654,NA,NA,NA,NA,NA,NA,0.48,0.51,-0.04,0.45,0.54,-0.09,0.43,0.54,-0.11,396807,170442,213271,0,0,0,12,FL16,40.00602,59.99398,14.838215,15.901703,6.1082973,3.1578045,116,2018,FL,16,28.27910015,30.8789325,10.34741206,30.49455529,1.496567815,6.399709552,5.726500297,86.37722234,103,1216,0.410065572,0.295593058,0.909462481,0.237850639,0.448983438,0.558897878,0.525745139,0.667661976,0.653938415,Florida 16th,0.84,0.468629441,0.16,0.531370559,-0.062741117,Sparse suburban,0.011272823,0.053306098,0.448490779,0.456169847,0.042033275,Suburban,-0.02,0.036,1,0,1,South,-7.344868784
FL-17,0.377412083,0.622587917,310520,1,234,234,0,117194,193326,-0.245175834,0.342,0.618,-0.276,0.414,0.586,-0.172,0.368,0.632,-0.265,338675,115974,209348,NA,NA,NA,NA,NA,NA,0.44,0.55,-0.11,0.41,0.58,-0.16,0.35,0.62,-0.27,353861,123919,220156,0,0,0,12,FL17,39.81469,60.18531,16.612761,14.372094,5.9038138,2.9260211,116,2018,FL,17,18.23580327,34.91577608,18.08225567,28.76616499,1.184991893,8.737106516,6.335034795,83.7428668,104,1217,0.539216022,0.26929975,0.891263978,0.281837313,0.518125557,0.717269588,0.371475571,0.578254987,0.619212871,Florida 17th,0.9799,0.382685959,0.0201,0.617314041,-0.234628082,Rural-suburban mix,-0.305932459,0,0.125609945,0.568457595,0.305932459,Rural,-0.11,-0.011,1,0,1,South,NA
FL-18,0.456988132,0.543011868,342359,1,347,347,0,156454,185905,-0.086023735,0.431,0.536,-0.105,0.503,0.497,0.006,0.598,0.402,0.196,375918,161918,201488,NA,NA,NA,NA,NA,NA,0.51,0.48,0.03,0.48,0.51,-0.04,0.44,0.53,-0.09,382474,168558,203771,0,0,0,12,FL18,34.550785,65.449219,10.706424,15.565047,4.0881567,4.1911573,116,2018,FL,18,28.66703683,28.58503447,11.74985131,30.99807739,1.903479937,11.80146225,6.818748583,79.47630923,105,1218,0.446791284,0.266690483,0.947369949,0.244735935,0.424130689,0.590570975,0.474997934,0.647097755,0.681281577,Florida 18th,0.8891,0.46302193,0.1109,0.53697807,-0.07395614,Sparse suburban,-0.063579248,0.017575548,0.478317121,0.422952534,0.081154796,Suburban,-0.05,-0.301,1,0,1,South,-8.52809746
FL-19,0.377258364,0.622741636,339571,1,148,148,0,128106,211465,-0.245483272,0.341,0.659,-0.318,0.366,0.634,-0.268,0.327,0.646,-0.318,363166,123812,239225,246861,80824,159354,109746,189833,299579,0.42,0.57,-0.15,0.39,0.61,-0.22,0.38,0.6,-0.22,381158,143001,227097,0,0,0,12,FL19,36.980312,63.019688,13.645501,15.90348,4.8822355,2.5490961,116,2018,FL,19,28.88212367,30.13369005,11.4741653,29.51002099,1.444589909,7.33716967,6.688612646,84.52962777,106,1219,0.560590534,0.291469871,0.927980435,0.303838669,0.45715956,0.650659309,0.432958816,0.56204703,0.589264299,Florida 19th,0.9976,0.378992374,0.0024,0.621007626,-0.242015253,Sparse suburban,-0.024753977,0.028178107,0.372768873,0.546120937,0.052932084,Suburban,0,0,1,0,0,South,-0.345370099
FL-20,0.999186487,0,202824,NA,0,0,1,202659,0,1,0.803,0.197,0.606,1,0,1,0.816,0.184,0.632,277560,222914,54646,NA,NA,NA,NA,NA,NA,0.81,0.19,0.62,0.83,0.17,0.65,0.8,0.18,0.62,288811,231596,52251,0,0,NA,12,FL20,36.681923,63.318077,12.075201,15.99402,3.152355,5.4603472,116,2018,FL,20,17.79204135,33.07457864,21.45797211,27.67540789,1.839141123,51.455952,7.562672741,39.14223414,107,1220,0.359660454,0.354490526,0.968219832,0.16831663,0.302850922,0.393179451,0.745342063,0.733390912,0.859371594,Florida 20th,0,1,1,0,1,Urban-suburban mix,0.337590669,0.388866412,0.478764388,0.081093458,0.051275742,Urban,-0.03,-0.026,1,0,1,South,NA
FL-21,NA,NA,0,NA,0,0,1,0,0,1,0.627,0.351,0.276,1,0,1,1,0,1,335861,210606,118038,NA,NA,NA,NA,NA,NA,0.63,0.36,0.28,0.6,0.39,0.22,0.59,0.39,0.2,351661,206239,137490,0,0,NA,12,FL21,36.641357,63.358643,10.888138,15.90793,3.3498871,6.4954023,116,2018,FL,21,33.78965772,27.14909537,9.481763064,29.57948385,3.385056239,11.75614674,6.253811687,78.60498534,108,1221,0.407017699,0.335073712,0.857229804,0.161936063,0.399538531,0.582928753,0.577803329,0.69498378,0.72570475,Florida 21st,0,1,1,0,1,Dense suburban,0.258969511,0.267733769,0.576842172,0.146659802,0.008764258,Suburban,-0.02,-0.724,1,0,1,South,NA
